UID          PID    PPID  C STIME TTY          TIME CMD
root         991       1  0 dic28 ?        00:00:07 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -s
root        1005       1  0 dic28 ?        00:00:00 /usr/bin/cupsd -l
root        1007       1  0 dic28 ?        00:00:00 /usr/bin/gssproxy -i
root        1010       1  0 dic28 ?        00:00:07 /usr/bin/python3 -Es /usr/sbin/tuned -l -P
root        1030       1  0 dic28 ?        00:00:03 /usr/bin/python3 -Es /usr/sbin/tuned-ppd -l
root        1039       1  0 dic28 ?        00:00:22 /usr/sbin/rsyslogd -n
postgres    1044       1  0 dic28 ?        00:00:01 /usr/bin/postgres -D /var/lib/pgsql/data
root        1046       1  0 dic28 ?        00:00:00 /usr/sbin/atd -f
root        1047       1  0 dic28 ?        00:00:00 /usr/sbin/crond -n
root        1056       1  0 dic28 ?        00:00:00 /usr/bin/sddm
postgres    1057    1044  0 dic28 ?        00:00:00 postgres: logger 
postgres    1058    1044  0 dic28 ?        00:00:00 postgres: io worker 0
postgres    1059    1044  0 dic28 ?        00:00:00 postgres: io worker 1
postgres    1060    1044  0 dic28 ?        00:00:00 postgres: io worker 2
postgres    1061    1044  0 dic28 ?        00:00:00 postgres: checkpointer 
postgres    1062    1044  0 dic28 ?        00:00:00 postgres: background writer 
postgres    1064    1044  0 dic28 ?        00:00:00 postgres: walwriter 
postgres    1065    1044  0 dic28 ?        00:00:00 postgres: autovacuum launcher 
postgres    1066    1044  0 dic28 ?        00:00:00 postgres: logical replication launcher 
root        1069       1  0 dic28 ?        00:00:00 /usr/libexec/uresourced
root        1182       2  0 dic28 ?        00:00:00 [krfcommd]
root        1255    1056  0 dic28 ?        00:00:00 /usr/libexec/sddm-helper --socket /tmp/sddm-auth-b40fcfca-989f-417d-a148-d56fbb0878a1 --id 1 --start /usr/libexec/plasma-dbus-run-session-if-needed /usr/bin/startplasma-wayland --user rvasquez
rvasquez    1262       1  0 dic28 ?        00:00:07 /usr/lib/systemd/systemd --user --deserialize=10
rvasquez    1264    1262  0 dic28 ?        00:00:00 (sd-pam)
rvasquez    1322    1262  0 dic28 ?        00:00:00 /usr/bin/dbus-broker-launch --scope user
rvasquez    1323    1322  0 dic28 ?        00:00:05 dbus-broker --log 11 --controller 10 --machine-id 10e15d8f7ada4aa49865722237c2fccf --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
rvasquez    1326       1  0 dic28 ?        00:00:00 /usr/bin/ksecretd --pam-login 13 14
rvasquez    1327    1255  0 dic28 tty2     00:00:00 /usr/bin/startplasma-wayland
rvasquez    1559    1262  0 dic28 ?        00:00:00 /usr/bin/kwin_wayland_wrapper --xwayland
rvasquez    1560    1262  0 dic28 ?        00:00:01 /usr/libexec/uresourced --user
rvasquez    1569    1262  0 dic28 ?        00:04:38 /usr/bin/pipewire
rvasquez    1571    1262  0 dic28 ?        00:00:17 /usr/bin/wireplumber
rvasquez    1573    1262  1 dic28 ?        00:07:34 /usr/bin/pipewire-pulse
rvasquez    1574    1559  8 dic28 ?        00:41:06 /usr/bin/kwin_wayland --wayland-fd 7 --socket wayland-0 --xwayland-fd 8 --xwayland-fd 9 --xwayland-display :0 --xwayland-xauthority /run/user/1000/xauth_gvgxJB --xwayland
rvasquez    1576    1262  0 dic28 ?        00:00:00 /usr/libexec/kf6/baloo_file
rvasquez    1598    1262  0 dic28 ?        00:00:02 /usr/libexec/xdg-desktop-portal
rvasquez    1610    1262  0 dic28 ?        00:00:00 /usr/libexec/xdg-permission-store
rvasquez    1620    1262  0 dic28 ?        00:00:00 /usr/libexec/xdg-document-portal
root        1627    1620  0 dic28 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
rvasquez    1673    1574  2 dic28 ?        00:12:34 /usr/bin/Xwayland :0 -auth /run/user/1000/xauth_gvgxJB -listenfd 8 -listenfd 9 -displayfd 75 -wm 78 -rootless -enable-ei-portal
rvasquez    1722    1262  0 dic28 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
rvasquez    1730    1722  0 dic28 ?        00:00:00 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
rvasquez    1732    1730  0 dic28 ?        00:00:00 dbus-broker --log 10 --controller 9 --machine-id 10e15d8f7ada4aa49865722237c2fccf --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
rvasquez    1740    1262  0 dic28 ?        00:00:00 /usr/bin/ksmserver
rvasquez    1742    1262  0 dic28 ?        00:00:23 /usr/bin/kded6
rvasquez    1782    1262  0 dic28 ?        00:02:05 /usr/bin/plasmashell --no-respawn
rvasquez    1786    1262  0 dic28 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
rvasquez    1802    1262  0 dic28 ?        00:00:24 /usr/libexec/kactivitymanagerd
rvasquez    1807    1262  0 dic28 ?        00:00:00 /usr/libexec/dconf-service
rvasquez    1833    1262  0 dic28 ?        00:00:00 /usr/bin/gmenudbusmenuproxy
rvasquez    1834    1262  0 dic28 ?        00:00:00 /usr/bin/kaccess
rvasquez    1835    1262  0 dic28 ?        00:00:00 /usr/libexec/kf6/polkit-kde-authentication-agent-1
rvasquez    1836    1262  0 dic28 ?        00:00:03 /usr/libexec/org_kde_powerdevil
rvasquez    1837    1262  0 dic28 ?        00:00:37 /usr/libexec/xdg-desktop-portal-kde
rvasquez    1838    1262  0 dic28 ?        00:00:00 /usr/bin/xembedsniproxy
rvasquez    1839    1262  0 dic28 ?        00:00:00 /usr/bin/ssh-agent -D
rvasquez    1881    1262  0 dic28 ?        00:00:00 /usr/bin/xsettingsd
rvasquez    1887    1262  0 dic28 ?        00:00:00 /usr/libexec/bluetooth/obexd
rvasquez    1924    1262  0 dic28 ?        00:00:00 /usr/bin/kwalletd6
rvasquez    2051    1262  0 dic28 ?        00:00:00 /usr/bin/abrt-applet --gapplication-service
rvasquez    2054    1262  0 dic28 ?        00:02:15 /usr/bin/kdeconnectd
